"from","to"
"nctid","ctgov"
"ctgov","registration"
"registration","publication_discovery"
"registration","llm"
"publication_discovery","linked_publications"
"publication_discovery","pubmed_search"
"publication_discovery","pubmed_gpt"
"publication_discovery","google_scholar"
"linked_publications","candidate_publications"
"pubmed_search","candidate_publications"
"pubmed_gpt","candidate_publications"
"google_scholar","candidate_publications"
"candidate_publications","llm"
"llm","result_publications"
"result_publications","result_detection"
