"step","count","role"
"Total studies on ClinicalTrials.gov",571121,"start"
"Excluded: non-completed/terminated status",226036,"excluded"
"Completed or terminated trials",345085,"included"
"Excluded: non-interventional design",72054,"excluded"
"Interventional trials",273031,"included"
"Excluded: missing completion date",2272,"excluded"
"Interventional trials with completion date",270759,"included"
"Excluded: completion during/after October 2022",50592,"excluded"
"Trials completed before October 2022",220167,"included"
"Excluded: random sampling",210567,"excluded"
"Final included sample",9600,"included"
